Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,INDUSINDBK,36799,OPTSTK,PE,860,INDUSIND BANK LIMITED,INDUSINDBK JUN 860 PE,INDUSINDBK26JUN25P860,2025-06-26,500,0.05
NFO,nse_fo,INDUSTOWER,36813,OPTSTK,CE,445,INDUS TOWERS LIMITED,INDUSTOWER MAY 445 CE,INDUSTOWER29MAY25C445,2025-05-29,1700,0.05
NFO,nse_fo,INDUSTOWER,36814,OPTSTK,PE,445,INDUS TOWERS LIMITED,INDUSTOWER MAY 445 PE,INDUSTOWER29MAY25P445,2025-05-29,1700,0.05
NFO,nse_fo,INDUSTOWER,36823,OPTSTK,CE,430,INDUS TOWERS LIMITED,INDUSTOWER JUN 430 CE,INDUSTOWER26JUN25C430,2025-06-26,1700,0.05
NFO,nse_fo,INDUSTOWER,36824,OPTSTK,PE,430,INDUS TOWERS LIMITED,INDUSTOWER JUN 430 PE,INDUSTOWER26JUN25P430,2025-06-26,1700,0.05
NFO,nse_fo,AUBANK,36856,OPTSTK,CE,750,AU SMALL FINANCE BANK LTD,AUBANK MAY 750 CE,AUBANK29MAY25C750,2025-05-29,1000,0.05
NFO,nse_fo,AUBANK,36857,OPTSTK,PE,750,AU SMALL FINANCE BANK LTD,AUBANK MAY 750 PE,AUBANK29MAY25P750,2025-05-29,1000,0.05
NFO,nse_fo,IOC,36863,OPTSTK,CE,166,INDIAN OIL CORP LTD,IOC JUN 166 CE,IOC26JUN25C166,2025-06-26,4875,0.05
NFO,nse_fo,IOC,36864,OPTSTK,PE,166,INDIAN OIL CORP LTD,IOC JUN 166 PE,IOC26JUN25P166,2025-06-26,4875,0.05
NFO,nse_fo,HAL,36878,OPTSTK,CE,5300,HINDUSTAN AERONAUTICS LTD,HAL JUL 5300 CE,HAL31JUL25C5300,2025-07-31,150,0.05
NFO,nse_fo,HAL,36911,OPTSTK,PE,5300,HINDUSTAN AERONAUTICS LTD,HAL JUL 5300 PE,HAL31JUL25P5300,2025-07-31,150,0.05
NFO,nse_fo,INDUSTOWER,36923,OPTSTK,CE,450,INDUS TOWERS LIMITED,INDUSTOWER MAY 450 CE,INDUSTOWER29MAY25C450,2025-05-29,1700,0.05
NFO,nse_fo,INDUSTOWER,36924,OPTSTK,PE,450,INDUS TOWERS LIMITED,INDUSTOWER MAY 450 PE,INDUSTOWER29MAY25P450,2025-05-29,1700,0.05
NFO,nse_fo,LT,36969,OPTSTK,PE,2740,LARSEN & TOUBRO LTD.,LT MAY 2740 PE,LT29MAY25P2740,2025-05-29,150,0.05
NFO,nse_fo,M&MFIN,37014,OPTSTK,PE,205,M&M FIN. SERVICES LTD,M&MFIN MAY 205 PE,M&MFIN29MAY25P205,2025-05-29,2000,0.05
NFO,nse_fo,MPHASIS,37071,OPTSTK,PE,1780,MPHASIS LIMITED,MPHASIS MAY 1780 PE,MPHASIS29MAY25P1780,2025-05-29,275,0.05
NFO,nse_fo,NAUKRI,37108,OPTSTK,PE,5100,INFO EDGE (I) LTD,NAUKRI MAY 5100 PE,NAUKRI29MAY25P5100,2025-05-29,75,0.05
NFO,nse_fo,BANDHANBNK,37111,OPTSTK,CE,185,BANDHAN BANK LIMITED,BANDHANBNK MAY 185 CE,BANDHANBNK29MAY25C185,2025-05-29,2800,0.05
NFO,nse_fo,BANDHANBNK,37119,OPTSTK,PE,185,BANDHAN BANK LIMITED,BANDHANBNK MAY 185 PE,BANDHANBNK29MAY25P185,2025-05-29,2800,0.05
NFO,nse_fo,PERSISTENT,37202,OPTSTK,CE,3700,PERSISTENT SYSTEMS LTD,PERSISTENT MAY 3700 CE,PERSISTENT29MAY25C3700,2025-05-29,100,0.05
NFO,nse_fo,PERSISTENT,37203,OPTSTK,PE,3700,PERSISTENT SYSTEMS LTD,PERSISTENT MAY 3700 PE,PERSISTENT29MAY25P3700,2025-05-29,100,0.05
NFO,nse_fo,PERSISTENT,37205,OPTSTK,PE,3900,PERSISTENT SYSTEMS LTD,PERSISTENT MAY 3900 PE,PERSISTENT29MAY25P3900,2025-05-29,100,0.05
NFO,nse_fo,TATASTEEL,37396,OPTSTK,PE,107.5,TATA STEEL LIMITED,TATASTEEL MAY 107.5 PE,TATASTEEL29MAY25P107.5,2025-05-29,5500,0.05
NFO,nse_fo,TCS,37408,OPTSTK,PE,2860,TATA CONSULTANCY SERV LT,TCS MAY 2860 PE,TCS29MAY25P2860,2025-05-29,175,0.05
NFO,nse_fo,AUBANK,37626,OPTSTK,CE,780,AU SMALL FINANCE BANK LTD,AUBANK MAY 780 CE,AUBANK29MAY25C780,2025-05-29,1000,0.05
NFO,nse_fo,AUBANK,37627,OPTSTK,PE,780,AU SMALL FINANCE BANK LTD,AUBANK MAY 780 PE,AUBANK29MAY25P780,2025-05-29,1000,0.05
NFO,nse_fo,AUBANK,37628,OPTSTK,CE,690,AU SMALL FINANCE BANK LTD,AUBANK JUN 690 CE,AUBANK26JUN25C690,2025-06-26,1000,0.05
NFO,nse_fo,AUBANK,37629,OPTSTK,PE,690,AU SMALL FINANCE BANK LTD,AUBANK JUN 690 PE,AUBANK26JUN25P690,2025-06-26,1000,0.05
NFO,nse_fo,BSE,37698,OPTSTK,CE,6900,BSE LIMITED,BSE MAY 6900 CE,BSE29MAY25C6900,2025-05-29,125,0.05
NFO,nse_fo,NIFTY,37749,OPTIDX,CE,23000,NIFTY,NIFTY JUN 23000 CE,NIFTY26JUN25C23000,2025-06-26,75,0.05
NFO,nse_fo,DIXON,37763,OPTSTK,CE,17250,DIXON TECHNO (INDIA) LTD,DIXON MAY 17250 CE,DIXON29MAY25C17250,2025-05-29,50,0.05
NFO,nse_fo,DIXON,37764,OPTSTK,PE,17250,DIXON TECHNO (INDIA) LTD,DIXON MAY 17250 PE,DIXON29MAY25P17250,2025-05-29,50,0.05
NFO,nse_fo,NIFTY,37794,OPTIDX,PE,23000,NIFTY,NIFTY JUN 23000 PE,NIFTY26JUN25P23000,2025-06-26,75,0.05
